p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
1.2504153276804784e-46,1.1697376506153638,0.679,0.225,3.126038319201196e-44,LGALS1
3.8997707034130193e-41,-0.5137367671161988,1,1,9.749426758532549e-39,CCL5
3.464257167671054e-37,0.8241085387637068,0.765,0.32,8.660642919177635e-35,GZMB
2.9026921206067554e-36,-0.9049011502773916,0.076,0.511,7.256730301516888e-34,GZMK
1.015222708434692e-34,-1.1247749866915977,0.51,0.811,2.53805677108673e-32,DUSP2
3.391315937170441e-34,1.2188815108097462,0.417,0.076,8.478289842926102e-32,GNLY
8.565699505827084e-29,0.3031364556956646,1,1,2.141424876456771e-26,HLA-C
1.450241295317051e-26,-0.7370725025475183,0.308,0.644,3.625603238292627e-24,CD69
3.963802375679518e-26,-0.7483223245927959,0.639,0.825,9.909505939198794e-24,CD8B
3.555680963071613e-19,0.5284969215058899,0.907,0.751,8.889202407679033e-17,PRF1
3.748811520738053e-18,-0.47496693379768146,0.053,0.307,9.372028801845134e-16,CD27
7.889807172698371e-18,0.34059022743707074,0.341,0.1,1.972451793174593e-15,B3GAT1
2.221362840620166e-17,0.45794996900841056,0.96,0.818,5.5534071015504156e-15,GZMH
1.1071127088115294e-16,0.31068282213647413,0.215,0.036,2.7677817720288237e-14,ZNF683
8.431503067186436e-16,-0.5091188850180668,0.252,0.525,2.1078757667966088e-13,HLA-DRA
9.40535831441348e-16,0.447439072101004,0.603,0.336,2.3513395786033697e-13,CX3CR1
1.6175562826872459e-15,-0.387393632195403,0.967,0.985,4.0438907067181145e-13,TRAC
5.1222561472035075e-14,-0.37785799764130745,0.149,0.391,1.2805640368008768e-11,CHI3L2
5.328525162837637e-13,-0.5026512527619291,0.417,0.66,1.332131290709409e-10,CXCR4
6.234712480683583e-13,0.30368873429873666,0.272,0.089,1.5586781201708956e-10,ITGAM
1.023243757663791e-11,0.3746987931178868,0.722,0.525,2.5581093941594776e-9,CTSW
2.6340157672373754e-11,0.36089464689835093,0.722,0.527,6.5850394180934386e-9,TBX21
1.160029066128127e-10,0.29657275570260433,0.997,0.98,2.9000726653203173e-8,CD52
1.2819065153642693e-10,0.28442196060072783,0.334,0.153,3.2047662884106734e-8,TSPAN32
1.085550631607709e-9,-0.5045237359673025,0.619,0.775,2.7138765790192727e-7,DUSP1
3.050199908496684e-8,0.2282400015268199,0.242,0.102,7.62549977124171e-6,S1PR1
3.850049759330613e-8,-0.19143536356786073,0.036,0.164,9.625124398326533e-6,CCR5
3.974253201129077e-8,0.30611009234664976,0.619,0.438,9.935633002822692e-6,CD5
5.7308733702712865e-8,0.13640394080856522,0.116,0.025,1.4327183425678216e-5,CD300A
7.608780653747497e-8,-0.22342760174815401,0.987,0.989,1.9021951634368742e-5,TRBC2
9.207080855755557e-8,-0.3380918984222644,0.169,0.336,2.301770213938889e-5,SELL
1.0902976197748068e-7,-0.28183454119404394,0.788,0.882,2.725744049437017e-5,FYN
2.811307730858089e-7,0.16507047333820296,0.139,0.042,7.028269327145222e-5,KLRF1
2.9388282230480454e-7,-0.2702151033171314,0.215,0.382,7.347070557620113e-5,HLA-DQB1
5.957265671497269e-7,-0.2220496402653005,0.997,1,1.4893164178743173e-4,IL32
7.481942823909327e-7,0.24811416003697861,0.639,0.487,1.8704857059773317e-4,TARP-refseq
1.0698379864042563e-6,0.281807677910052,0.768,0.678,2.674594966010641e-4,SELPLG
2.465152149087173e-6,0.25975550633868183,0.887,0.78,6.162880372717932e-4,CD6
3.0399003278575924e-6,0.2574771086896531,0.414,0.264,7.599750819643981e-4,SPOCK2
5.424512647947537e-6,-0.19101992490437447,0.179,0.329,0.0013561281619868843,HLA-DMA
2.516015034918805e-5,0.16469732419549682,0.371,0.233,0.006290037587297012,PIK3IP1
7.670166774891116e-5,-0.315205537582568,0.901,0.911,0.01917541693722779,GAPDH
8.223542507226949e-5,0.18196719174299147,0.371,0.247,0.02055885626806737,GIMAP7
2.2679266315047815e-4,0.19383159165207764,0.513,0.393,0.05669816578761954,ITK
3.3649326385461594e-4,0.1848558507666318,0.57,0.456,0.08412331596365398,CD247
3.6757416806456293e-4,0.11958911516159046,0.235,0.136,0.09189354201614074,CLEC2D
4.5324968916113644e-4,0.18653396250532128,0.954,0.933,0.11331242229028411,ITGAL
5.006793780308486e-4,0.17613766245985307,0.507,0.391,0.12516984450771215,TNFRSF1B
5.936634553325502e-4,0.1766140371495406,0.901,0.818,0.14841586383313757,RUNX3
5.976176929735063e-4,0.11670891100990946,0.166,0.087,0.14940442324337658,PRDM1
6.687361620554489e-4,-0.19368082340766546,0.679,0.771,0.1671840405138622,BTG1
7.115039517966735e-4,0.14485432413512592,0.202,0.118,0.1778759879491684,RORA
0.0017751125876236964,0.09487057398635967,0.404,0.291,0.4437781469059241,CCL4
0.002208566469320038,0.08551889086278858,0.123,0.062,0.5521416173300095,CCND2
0.002502221902150598,-0.14269015061785795,0.563,0.687,0.6255554755376495,HLA-DPA1
0.0026101056431519012,-0.14152688451468753,0.815,0.867,0.6525264107879754,HLA-DPB1
0.0030289374338231334,-0.13423804264896466,0.848,0.898,0.7572343584557834,LCK
0.003152727333979744,-0.16282386008289879,0.162,0.245,0.7881818334949361,TCF7
0.0034016630098010836,0.08436229155379582,1,1,0.8504157524502709,HLA-A
0.0034781254259310663,0.09491320786842908,0.192,0.118,0.8695313564827666,STAT3
0.004464951825963177,0.11601538586444538,0.536,0.418,1,C10orf54
0.0073746344409616905,-0.3227439340888284,0.334,0.404,1,HMGB2
0.008102677902280864,-0.11666002620549606,0.159,0.235,1,CXCR3
0.009852599126297245,-0.12392699638126914,0.298,0.385,1,FOSB
0.013188753459700586,-0.22577865383071594,0.298,0.364,1,CD160
0.013194937835364934,0.14241704461585192,0.576,0.518,1,ZAP70
0.01626510483025408,-0.13177864548783447,0.944,0.958,1,GZMA
0.01757661039077418,0.1320128113304464,0.997,0.984,1,ITGB2
0.017722301078477713,-0.0975477804653343,0.613,0.693,1,ARL4C
0.01944864638685857,0.12155497269719737,0.119,0.073,1,IL7R
0.027810364978407356,-0.1004350915283439,0.311,0.387,1,GIMAP2
0.03526815002448296,0.09600677614709152,0.954,0.956,1,CD3E
0.038724593552929364,-0.08876129522131737,0.483,0.558,1,FYB
0.04171629404055017,-0.08429267183537453,0.248,0.315,1,GZMM
0.04456689474878092,-0.08469392562312583,0.887,0.875,1,KLRK1
0.04678768013894942,0.08152971366025788,0.106,0.067,1,KLRB1
0.05108018906271901,0.09590266777609502,0.997,0.991,1,CST7
0.054225324358847554,0.09404554057984038,0.652,0.595,1,APOBEC3G
0.05529293725205884,-0.08019072040946337,0.139,0.189,1,STAT1
0.05542852607559434,0.07015695685752499,0.228,0.175,1,STAT4
0.05963342252392928,-0.0786636625838768,0.321,0.389,1,ANXA5
0.06380387689304862,-0.08297233380856306,0.719,0.753,1,IL2RB
0.0639791617255697,-0.0890589098685306,0.162,0.215,1,JUN
0.06591377176636175,0.06237935853784776,0.242,0.187,1,BCL11B
0.07174888664548976,0.12565397958937186,0.894,0.876,1,CD3D
0.07286862310774046,0.09757524379424565,0.629,0.584,1,CD3G
0.07571833411013841,0.07346969089836042,0.242,0.191,1,IER5
0.08461291123408841,0.09176113738219405,0.821,0.802,1,CD2
0.08624294390666758,0.05067447598827657,0.185,0.14,1,CNOT2
0.11797852770455973,-0.05950417437106004,0.765,0.807,1,BIN2
0.1191488088151746,-0.0555496735947385,0.646,0.718,1,LAT
0.1325561326741526,0.04344698880312799,0.103,0.073,1,HLA-DQA1
0.16827584680567856,-0.06399693952622881,0.255,0.302,1,HLA-DRB3
0.20603753610558348,0.04940026614593851,0.152,0.122,1,IL4R
0.22985639568079602,-0.05133989981615927,0.381,0.427,1,BAX
0.2887841472505601,0.0642644785252148,0.175,0.149,1,GIMAP5
0.3104924284069964,0.021697155038316707,0.533,0.495,1,ITGA4
0.31290476803143824,-0.03098118956405796,0.156,0.185,1,CBLB
0.34587661557202426,-0.039769054325575925,0.129,0.153,1,CASP3
0.3596236279189349,0.07455424932201205,0.275,0.256,1,LAG3
0.37081319135024426,-0.026224529280647668,0.106,0.127,1,FAS
0.37661124163835,0.03480807052925544,0.195,0.171,1,TRIB2
0.4192919681428137,0.0557676891649016,0.129,0.113,1,FOXO3
0.42977347491936346,-0.022913097038911978,0.983,0.991,1,CD8A
0.4450071709954431,0.009377859745335615,0.189,0.165,1,TRAT1
0.45216185488334393,-0.014822697195345236,0.142,0.164,1,EOMES
0.4706509941618022,-0.0230903131789455,0.139,0.158,1,STAT5A
0.49696845988708727,-0.035140807033308796,0.603,0.571,1,JUNB
0.5025593235408229,0.05418986160411676,0.182,0.167,1,TIAF1
0.5074377650568886,-0.0297337384401688,0.172,0.191,1,KLRG1
0.5317249171445231,-0.08883924745892724,0.361,0.38,1,IFNG
0.587513467804916,-3.4025157860340105e-4,0.215,0.196,1,CD244
0.6058962076632366,5.805900461969271e-4,0.467,0.444,1,IL23R
0.6099254323482973,0.005481399259743558,0.152,0.138,1,IL12RB1
0.611272101735197,-0.03011384794032207,0.275,0.289,1,CCL3
0.7308821768964608,-0.0293965226265831,1,1,1,NKG7
0.73248957486396,0.009347569071302853,0.487,0.509,1,CD44
0.8681307783680495,0.03662164090118647,0.589,0.593,1,CD48
0.8774706038388111,0.00909681442643051,0.334,0.329,1,CD7
0.954951295016184,0.017339056913640072,0.142,0.142,1,LAP3
0.9678811217951783,4.7840601038007247e-4,0.119,0.118,1,GATA3
0.9691117798146521,0.0015401891511811483,0.325,0.329,1,STAT6
